no             name           lat            lon            depth          mag            dist           fq             mxFq           err            
61             ci11129826     32.2071667     -115.3431667   2.821          4.64           95             3              8              2              
62             ci11129914     32.2131667     -115.2886667   9.641          4.68           97             3              6              1              
63             ci15199593     33.0158333     -115.5363333   4.79           4.59           27             2              3              0              
64             ci15199681     33.0171667     -115.5536667   8.323          5.32           26             3              5              1              
65             ci15199689     33.0135        -115.5591667   4.387          4.89           25             1              6              1              
66             ci15200401     33.0185        -115.5403333   8.283          5.41           27             1              4              1              
67             ci15201537     33.028         -115.5305      7.47           4.63           29             3              5              1              
68             ci15202921     33.0211667     -115.5195      4.17           4.93           28             3              4              1              
69             ci15296281     33.5008333     -116.4581667   10.943         4.7            86             6              6              1              
70             ci37374687     33.4315        -116.4426667   12.31          5.19           79             4              8              2              
71             ci38138175     32.2065        -115.2535      10.95          4.82           100            1              6              1              
73             ci38488354     33.0183333     -116.0201667   10.16          4.54           22             1              10             3              
74             ci39338407     33.2468333     -115.69        2.07           4.59           34             1              5              1              
75             ci39641528     33.0546667     -115.5906667   14.19          4.93           27             1              3              1              
76             ci39596135     32.3903333     -115.2498333   19.22          4.75           85             78             78             16             
77             ci39919392     33.14          -115.6348333   5.78           5.25           27             3              8              2              
