no             name           lat            lon            depth          mag            dist           traces         fq             mxFq           err            
1              ci37219556     35.8875        -117.6495      10.86          4.09           26             0              5              40             1              
2              ci37219572     35.8895        -117.6975      7.85           4.03           28             0              4              20             1              
3              ci38457703     35.9035        -117.7001667   8.26           4.97           27             3              5              39             1              
4              ci38457735     35.9055        -117.6875      8.43           4.06           26             3              3              22             0              
5              ci38457847     35.9101667     -117.6848333   7.41           5.44           25             4              5              8              2              
6              ci38458079     35.8773333     -117.6945      3.32           4.47           27             1              5              18             2              
7              ci38458655     35.9323333     -117.6916667   1.86           4.15           23             0              5              18             4              
8              ci38463551     35.9283333     -117.705       2.37           4.5            24             0              2              11             1              
