no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
1                             ci9818433                     2002-09-03T07:08:51.840000Z   33.9123333                    -117.7833333                  9.371                         4.78                          125.0                         
2                             ci14065544                    2004-06-15T22:28:48.190000Z   32.3428333                    -117.9141667                  9.824                         4.98                          117.0                         
3                             ci14151344                    2005-06-12T15:41:46.520000Z   33.5325                       -116.5666667                  13.051                        5.2                           67.0                          
4                             ci10215753                    2006-11-03T15:56:43.050000Z   32.676                        -116.0481667                  13.436                        4.62                          94.0                          
5                             ci10275733                    2007-09-02T17:29:14.790000Z   33.7321667                    -117.477                      12.192                        4.73                          92.0                          
6                             ci14745580                    2010-06-15T04:26:58.240000Z   32.705                        -115.9113333                  8.756                         5.71                          104.0                         
7                             ci10736069                    2010-07-07T23:53:33.480000Z   33.4173333                    -116.4746667                  12.318                        5.42                          63.0                          
8                             ci10832573                    2010-11-04T19:39:59.550000Z   32.8645                       -115.9973333                  13.146                        4.57                          92.0                          
9                             ci15296281                    2013-03-11T16:56:06.060000Z   33.5008333                    -116.4581667                  10.943                        4.7                           70.0                          
