no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
0                             ci37219516                    2019-07-06T03:24:33.520000Z   35.8911667                    -117.6755                     7.42                          4.07                          25.0                          
1                             ci37219556                    2019-07-06T03:26:51.990000Z   35.8875                       -117.6495                     10.86                         4.09                          24.0                          
2                             ci37219572                    2019-07-06T03:27:36.260000Z   35.8895                       -117.6975                     7.85                          4.03                          27.0                          
3                             ci38457703                    2019-07-06T03:50:59.710000Z   35.9035                       -117.7001667                  8.26                          4.97                          26.0                          
4                             ci38457735                    2019-07-06T03:55:20.020000Z   35.9055                       -117.6875                     8.43                          4.06                          25.0                          
5                             ci38457847                    2019-07-06T04:18:55.790000Z   35.9101667                    -117.6848333                  7.41                          5.44                          24.0                          
6                             ci38458079                    2019-07-06T04:52:17.710000Z   35.8773333                    -117.6945                     3.32                          4.47                          27.0                          
7                             ci38458655                    2019-07-06T05:58:17.570000Z   35.9323333                    -117.6916667                  1.86                          4.15                          23.0                          
8                             ci38463551                    2019-07-06T13:06:55.260000Z   35.9283333                    -117.705                      2.37                          4.5                           24.0                          
