no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
6                             nn00482627                    2015-02-14T02:28:56.228000Z   37.1418                       -117.2618                     17                            4.8                           19.0                          
7                             nc72592670                    2016-02-16T23:04:26.910000Z   37.2023333                    -118.4035                     15.06                         4.77                          95.0                          
8                             ci38525207                    2019-07-11T00:14:37.320000Z   36.1766667                    -117.884                      0.93                          4.52                          102.0                         
9                             ci38593535                    2019-07-18T03:59:14.720000Z   36.113                        -117.8875                     1.56                          4.64                          109.0                         
10                            ci39490952                    2020-06-23T00:25:46.390000Z   36.4466667                    -117.984                      2.26                          4.65                          82.0                          
11                            ci39493944                    2020-06-24T17:40:49.240000Z   36.4468333                    -117.9751667                  4.66                          5.8                           82.0                          
12                            ci39494008                    2020-06-24T17:59:19.960000Z   36.456                        -117.9311667                  9.62                          4.59                          78.0                          
13                            ci39584648                    2020-08-19T17:32:11.070000Z   36.4786667                    -117.5141667                  -0.57                         4.72                          59.0                          
14                            nc73674211                    2022-01-06T00:28:07.010000Z   37.3338333                    -117.9023333                  9.5                           4.75                          61.0                          
