no                            name                          time                          lat                           lon                           depth                         mag                           dist                          
1                             ci14065544                    2004-06-15T22:28:48.190000Z   32.3428333                    -117.9141667                  9.824                         4.98                          96.0                          
2                             ci14151344                    2005-06-12T15:41:46.520000Z   33.5325                       -116.5666667                  13.051                        5.2                           91.0                          
3                             ci10215753                    2006-11-03T15:56:43.050000Z   32.676                        -116.0481667                  13.436                        4.62                          96.0                          
4                             ci10736069                    2010-07-07T23:53:33.480000Z   33.4173333                    -116.4746667                  12.318                        5.42                          86.0                          
5                             ci10832573                    2010-11-04T19:39:59.550000Z   32.8645                       -115.9973333                  13.146                        4.57                          99.0                          
6                             ci15296281                    2013-03-11T16:56:06.060000Z   33.5008333                    -116.4581667                  10.943                        4.7                           94.0                          
7                             ci37374687                    2016-06-10T08:04:38.700000Z   33.4315                       -116.4426667                  12.31                         5.19                          89.0                          
8                             ci39126079                    2020-04-04T01:53:18.920000Z   33.4895                       -116.5063333                  10.45                         4.87                          90.0                          
9                             ci38488354                    2020-05-10T22:07:40.370000Z   33.0183333                    -116.0201667                  10.16                         4.54                          99.0                          
